,left,right,both,separate
1,0.7698776637897914,0.9480254286155994,0.6191082303083386,0.78356711027467
3,1.4834855199340258,1.1692703026919922,1.0442758639599214,0.3465333334701524
5,1.297111003727492,1.7643668119850737,1.988338784885693,0.7317366527189282
7,4.1350813371371204,1.4448834546721243,0.7423695737039853,0.4543860830056288
10,0.662349545960475,1.9657387025624018,1.173476826622127,0.9930336747694721
20,1.318492745775875,1.7523513622049873,1.4779930296009267,0.6451664065901092
30,0.5524259155246674,1.372946669515965,1.6704515743237554,0.7957302322445408
336,1.155022002408458,1.395558320135639,1.3668970639994773,1.2021223169393358
