,autumn,spring,summer,winter
0,2.132036592533198,2.4748156735137927,3.110114792740547,1.561698916356399
1,2.100667715540096,2.144832601703845,2.592731259666996,1.5150931860252923
2,2.003367526268574,2.3827724504597825,2.886101425157082,1.5620733459606888
3,2.0018707494151986,1.929311520091008,2.0921446387542204,1.5954291989350853
4,2.0373711293025085,1.710043565819948,1.484438818926792,1.5567593099560715
5,1.9007753908351264,1.4937454013724545,0.7789253475357315,1.491061417103067
6,1.7565795696703708,0.9001908988230958,0.41531578520383017,1.5420770981820109
7,1.4253020216254004,0.8480462111262489,0.46894599700160333,1.499119481817996
8,1.200477002496421,0.7265417705778632,0.5537680459940257,1.3509510783442469
9,1.1411580573359892,0.771347448187137,0.8409384141615028,1.3431309761046086
10,1.1017986149045715,0.6941567025863861,0.8900658970584491,1.2802807656331558
11,1.0748240322498919,0.650306947081428,0.7972980768230727,1.2040197054106185
12,1.0680738514575445,0.7751551659760265,0.7033115875790925,1.2795678404120483
13,1.0677900274151066,0.7499563246399013,0.7353242187589207,1.2631081612070671
14,1.0612461882409994,0.7480624015543788,0.7648464559667137,1.259780660032191
15,1.2355196788227816,0.6927908204599974,0.7168139605192008,1.4706848901326903
16,1.3993669164515252,0.7382606985169642,0.7697930311077452,1.5099541164168273
17,1.722107919353294,0.8673374161225554,0.7804814705391491,1.6070207021228708
18,1.8988134041093239,1.2856244599847542,1.0315774639197406,1.5559061575620836
19,2.0233930981819577,1.6428888041680958,1.7407532219498876,1.5620512488012395
20,2.0847750798404268,2.152761138061754,2.268625470054743,1.4285815725296822
21,2.0099700472662625,2.217717043112442,2.4345240044651835,1.4137416801204568
22,2.117491487523454,2.264540770057047,2.7262542994858636,1.3758300754605304
23,2.2822062104953855,2.400856050640307,2.423320510662752,1.4660904784677786
