,autumn,spring,summer,winter
0,1.5340738095238096,3.1182852564102563,3.7325625000000002,1.1416797385620916
1,1.408141129032258,1.9307232142857143,3.013541666666667,0.9342368421052631
2,1.3988991477272728,1.904316964285714,3.0380750000000005,1.1411027777777778
3,1.411092375366569,1.7309666666666665,2.1130555555555555,1.174861111111111
4,1.6715,1.4516470588235295,1.3495833333333334,0.906437908496732
5,1.6866336805555555,1.2610089285714285,0.7908749999999997,0.9570213903743316
6,1.3888522727272727,0.4798956043956045,0.6271000000000001,0.99850625
7,0.9270757575757576,0.2897738095238095,0.46046428571428594,0.9459754901960785
8,0.6641272401433694,0.18220000000000003,0.47193333333333354,0.9533333333333329
9,0.5320020161290323,0.218111111111111,0.8424642857142857,1.043277777777778
10,0.5776749999999999,0.13725555555555535,0.618942857142857,0.8885852272727275
11,0.6824677419354837,0.17421666666666674,0.5883611111111107,0.8718664772727273
12,0.6020166666666665,0.13606249999999986,0.8020999999999999,0.969715277777778
13,0.7232603686635944,0.32012937062937047,0.8505333333333329,0.9791909722222222
14,0.7057570564516127,0.35547058823529404,0.5156249999999998,0.9975637254901962
15,0.8851075268817203,0.3971625000000001,0.8417142857142863,1.193219696969697
16,1.088944871794872,0.40911229946524047,0.8047999999999997,1.137877990430622
17,1.4377475490196077,0.7255336538461536,0.6342678571428573,1.2742589285714288
18,1.682484375,1.43917094017094,0.7803888888888892,1.2499285714285715
19,1.6511845878136202,2.1346030303030306,1.3624166666666668,1.3831691176470589
20,1.562875,2.720889140271493,2.209675,1.3455892857142857
21,1.5553031249999998,3.1510616883116884,2.5895875000000004,1.1802179487179485
22,1.5068423295454543,3.2380375000000003,2.9076666666666666,1.2544038461538465
23,1.6332439903846154,3.3991923076923083,2.539518181818181,1.241334821428571
