,autumn,spring,summer,winter
0,1.6417772483797437,1.907184818008751,2.6156697279107117,1.1249099813365628
1,1.6105997962616636,1.610690810833979,2.2032810653382673,1.0946576004753603
2,1.5246376266490183,1.7869149415545817,2.4013617211782035,1.1167813384097143
3,1.5166608770544392,1.44822911578677,1.7966363832484729,1.1170338232815742
4,1.554950510443832,1.3148648400958463,1.3928479747308389,1.120225688020883
5,1.440245930020593,1.1265873496192698,0.9573562923530095,1.0798859748266347
6,1.306139475915626,0.6231478096070913,0.6712686035058919,1.113417375885671
7,1.0298417209294544,0.5245892808761952,0.5747542941832477,1.0961872682364846
8,0.8222606107446337,0.3725539690464609,0.5700113566921711,0.9414828059787084
9,0.7484788450588868,0.414911588416359,0.505892698507654,0.9479559363798199
10,0.7165922728069731,0.3929724142039356,0.6677679930375763,0.8677659495646107
11,0.6965887745287279,0.3793753707460941,0.6230534944250581,0.8170339279008179
12,0.7167231579655221,0.501178179973241,0.5161660276091804,0.8833828355846607
13,0.7551191485349555,0.45954780386819266,0.5577720909333997,0.8829254648226634
14,0.7727445874350658,0.41775176050547885,0.5299768962315761,0.8948511683931175
15,0.9266661776521841,0.39045807809878247,0.49713637267535205,1.0826404623219674
16,1.0649442279039412,0.45639873090695515,0.5512502941015087,1.125420627340461
17,1.3273466219619083,0.5655664614124993,0.5551900747259764,1.2053309393413616
18,1.468436091444262,0.9191282841139516,0.8054043770809998,1.1613054638559945
19,1.5680898631330598,1.2124879314422168,1.4707446197314589,1.1105443217617605
20,1.615439389693341,1.6812502701334067,1.8458020255793972,1.045520023013161
21,1.5503030125491517,1.6833013828980323,2.0120642352906737,1.029408259743243
22,1.5558258026536174,1.7221015202818277,2.2736771543152474,0.9997269603578245
23,1.6599877958780414,1.8477519269473832,1.9898910859663483,1.0619937758583404
