,linint,fillmodel,debmodelReg,debmodelMeanbias,debmodelTvar
1,0.015197808914603178,0.503702656965794,0.3101938777798523,0.35908838743110444,0.25425784759597353
3,0.9580620752516201,0.36095966746508085,0.4850628720315216,0.570880047378548,0.5408741912479155
5,0.5239306961006507,0.896153712554053,0.5158563087863343,0.5148569475923312,0.7385932885652754
7,0.6669314222708586,0.25847263402037335,0.2552158852122867,0.24145719269263644,0.35475673541567754
10,1.1345416357297389,0.37744931764785183,0.2802694496109776,0.3008245325015412,0.2525227512925178
20,3.137871373580893,0.5121832499997154,0.3169125256896116,0.3258330595573416,0.1963193868317915
30,2.823306501294831,0.9168470602056474,0.8174876826901182,0.7994632298920796,0.820125123598121
336,5.168695751675554,0.22937191243038868,0.23096265308805083,0.21115879221507394,0.2130303551779454
