,autumn,spring,summer,winter
0,1.7166868846577388,2.1261919332138444,2.8122809052647724,1.157926990902253
1,1.6599325871328814,1.7979675245731885,2.321151210759241,1.126727329268721
2,1.5560069836862929,2.0279660072199275,2.655408946807153,1.1387221863236996
3,1.5428172719711633,1.6118571370363788,1.977356350368035,1.20711996291733
4,1.6198740109199927,1.4296925705817534,1.5021472431172125,1.1796725320868706
5,1.524579439403431,1.2120524886901682,0.9712141523610308,1.1668087837652121
6,1.4148852556977451,0.6854876329235902,0.7019704086090715,1.2331094240218232
7,1.1451948872518458,0.625231567921198,0.5056886641098994,1.1976945526236484
8,0.8850609238850511,0.3462795341922868,0.4360752332257071,1.0373449033208457
9,0.7845943816842156,0.376154267954949,0.41726318228522985,1.0211586697243444
10,0.7256866838770331,0.29993530659551754,0.5209512153751998,0.9784501373143493
11,0.6866956174450692,0.31561387706773997,0.4208212047661614,0.916848793735021
12,0.7064349399292136,0.37183999777089716,0.30690159047830956,0.9990489038343922
13,0.8002858340444619,0.32527124795420814,0.44014440309242675,1.0228273043936458
14,0.7947766103490701,0.3638048192940737,0.43859116757726113,1.0402150862966961
15,1.0160750144921635,0.41110258096164554,0.5233900192652857,1.2473196155746291
16,1.1986985012777418,0.5273198373767898,0.6121625472734408,1.2586598402528493
17,1.5191144535442005,0.7080002259292554,0.7203581061110429,1.3145554671729949
18,1.6643478793359336,1.1778453084708729,0.9107937187129904,1.257674270963013
19,1.7478980233683539,1.4871960795988843,1.6757300637238304,1.2817519857538415
20,1.7953961892515373,1.9634353106169644,2.192364918564803,1.1173836824601224
21,1.685382693303977,1.9608536259014473,2.3097917333757065,1.086324134599515
22,1.6427625236163383,1.9716691297503721,2.524201887427754,1.0430040279791215
23,1.8002991999318207,2.0989931319602295,2.1716964533158323,1.088911134240519
