,left,right,both,separate
1,0.2746943290389244,0.41186798558629073,0.38657247759929575,0.44928490888627987
3,0.6486570948964762,0.3486153267689297,0.42090540734467663,0.10115112782404607
5,0.3509467469538578,0.5672183889363779,0.8622591858433207,0.30016683582813375
7,3.2020981416676997,0.6705856279083667,0.1597632595048297,0.07637568106647442
10,0.19715993523095085,0.6168470074050727,0.2967823771826705,0.20556711503692823
20,0.38392212012777555,0.523737007572289,0.2812677229088314,0.1886833595858836
30,0.1307721176090237,0.2795324679078439,0.5052926723740674,0.17987117180825543
336,0.13382716355843532,0.3490051924576696,0.31875596697032865,0.1196565403746717
